,Composer,Title,Measure,Beat,JAO_RF_CadType,Morgan Type,Tone,Sounding,Truth Status,Comments
3,Morley,Morley_1597_068,3,1,"C'B', no suspension",,G,3,True Positive,
52,Morley,Morley_1597_068,7,3,,"Authentic, TCB",G,3,True Positive,
76,Morley,Morley_1597_068,10,3,,"Authentic, tCB",G,3,True Positive,
96,Morley,Morley_1597_068,13,1,,"Authentic, TCB",A,3,True Positive,
104,Morley,Morley_1597_068,14,1,,"Clausula Vera, CT",G,3,True Positive,
112,Morley,Morley_1597_068,15,1,,"Clausula Vera, CT",D,3,True Positive,
116,Morley,Morley_1597_068,15,3,,"Clausula Vera, CT",G,3,True Positive,
134,Morley,Morley_1597_068,18,1,,"Authentic, TCB",G,3,True Positive,
24,Morley,Morley_1597_127_3,4,1,,"Authentic, tCB",G,3,True Positive,
44,Morley,Morley_1597_127_3,6,3,,"Clausula Vera, CT",C,3,True Positive,
56,Morley,Morley_1597_127_3,8,1,,"Authentic, CtB",C,3,True Positive,
10,Morley,Morley_1597_127_4,2,1,"C'B', no suspension",,G,3,True Positive,Rival claims
8,Morley,Morley_1597_127_4,2,1,,"Evaded Clausula Vera, tC",G,3,True Positive,Rival claims
5,Morley,Morley_1597_127_5,2,1,"C'B', no suspension",,G,3,True Positive,
2,Morley,Morley_1597_127_6,2,1,"C'B', no suspension",,G,3,True Positive,
16,Morley,Morley_1597_127_7,3,1,,"Authentic, tCB",G,3,True Positive,
0,Morley,Morley_1597_127_8,2,1,"C'b', no suspension, Bassus -3 to Final",,E,3,True Positive,
,,Morley_1597_128_01,3,3,,"Authentic, tCB",G,3,False Negative,
1,Morley,Morley_1597_128_02,3,3,"C'b, no suspension, Bassus -6 to Final",,A,3,True Positive,
28,Morley,Morley_1597_128_02,4,3,,"Clausula Vera, CT",G,3,True Positive,
8,Morley,Morley_1597_128_03,2,1,,"Authentic, CB",G,3,True Positive,
9,Morley,Morley_1597_128_04,2,1,"C'T', no suspension",,G,3,True Positive,
8,Morley,Morley_1597_128_05,2,1,"C'b, no suspension, Bassus -6 to Final",,B,3,True Positive,Rival claims
8,Morley,Morley_1597_128_05,2,1,,"unknown, Cu",G,3,True Positive,Rival claims
8,Morley,Morley_1597_128_06,2,1,,"unknown, cz",unknown,2,True Positive,
24,Morley,Morley_1597_128_06,4,1,,"Authentic, tCB",G,3,True Positive,
8,Morley,Morley_1597_128_07,2,1,,"Authentic, tCB",G,3,True Positive,
8,Morley,Morley_1597_128_08,1,2.33,,"Evaded Clausula Vera, tC",G,3,True Positive,
,,Morley_1597_128_09,1,2.33,,"Quince, QC",G,3,True Positive,
8,Morley,Morley_1597_128_10,1,2.33,,"Evaded Clausula Vera, tC",G,3,True Positive,
8,Morley,Morley_1597_128_11,1,2.33,,"Abandoned Clausula Vera, zC",G,2,True Positive,
,,Morley_1597_128_11,2,3,,"Quince, QC",G,3,True Positive,
24,Morley,Morley_1597_128_11,3,3,,"Evaded Clausula Vera, tC",G,3,True Positive,
12,Morley,Morley_1597_129_1,2,3,,"Clausula Vera, CT",C,3,True Positive,
8,Morley,Morley_1597_129_2,2,1,,"Clausula Vera, CT",C,3,True Positive,
4,Morley,Morley_1597_129_3,2,3,"C'B', no suspension",,C,3,True Positive,Rival claims
12,Morley,Morley_1597_129_3,2,3,,"Evaded Clausula Vera, tC",C,3,True Positive,Rival claims
12,Morley,Morley_1597_129_4,2,3,,"Authentic, CtB",C,3,True Positive,
8,Morley,Morley_1597_129_5,2,1,,"Clausula Vera, CT",C,3,True Positive,
16,Morley,Morley_1597_129_6,3,1,,"Authentic, CtB",G,3,True Positive,
6,Morley,Morley_1597_194,3,1,"C'B', no suspension",,B-,3,True Positive,
36,Morley,Morley_1597_194,5,3,,"Authentic, CtB",F,3,True Positive,
64,Morley,Morley_1597_194,9,1,,"Authentic, CtB",F,3,True Positive,
7,Morley,Morley_1597_194,11,3,"C'B', no suspension",,B-,3,True Positive,
112,Morley,Morley_1597_194,15,1,,"Authentic, tCB",F,3,True Positive,
136,Morley,Morley_1597_194,18,1,,"Authentic, CtB",F,3,True Positive,
152,Morley,Morley_1597_194,20,1,,"Authentic, tCB",F,3,True Positive,
